case_id,client_name,case_type,notary,workflow_status,case_category,notarization_category,usage_country,accept_date,issue_date,notary_fee,fee_status
202100825,REDACTED_CLIENT,法定继承,Staff_077,受理,新证,国内民事,中国大陆,2023-01-09,NULL,200.00,否
20220010072,REDACTED_CLIENT,法定继承,Staff_054,受理,新证,国内民事,中国大陆,2023-01-17,NULL,500.00,否
20220010714,REDACTED_CLIENT,一般事务性委托,Staff_030,归档,新证,国内民事,中国大陆,2023-01-03,2023-01-03,2000.00,是
20220016591,REDACTED_CLIENT,法定继承,Staff_024,已归档,新证,国内民事,中国大陆,2023-01-17,2023-01-31,4968.00,是
20220016609,REDACTED_CLIENT,小额继承,Staff_067,归档,新证,国内民事,中国大陆,2023-01-06,2023-01-12,500.00,是
20220017461,REDACTED_CLIENT,法定继承,Staff_077,已归档,新证,国内民事,中国大陆,2023-02-04,2023-02-06,3812.00,是
20220018488,REDACTED_CLIENT,其他继承,Staff_024,已归档,新证,法律意见书,中国大陆,2023-03-16,2023-04-11,0.00,Unknown
20220018597,REDACTED_CLIENT,其他继承,Staff_024,已归档,新证,法律意见书,中国大陆,2023-02-13,2023-03-30,0.00,Unknown
20220019421,REDACTED_CLIENT,其他继承,Staff_024,已归档,新证,法律意见书,中国大陆,2023-01-19,2023-01-20,0.00,Unknown
20220020066,REDACTED_CLIENT,其他继承,Staff_024,已归档,新证,法律意见书,中国大陆,2023-01-13,2023-02-20,0.00,Unknown
20220020088,REDACTED_CLIENT,放弃继承权声明,Staff_076,已归档,新证,国内民事,中国大陆,2023-01-12,2023-01-16,500.00,是
20220020551,REDACTED_CLIENT,证书（执照）,Staff_026,已归档,新证,涉外民事,澳大利亚,2023-03-15,2023-03-15,150.00,是
20220020620,REDACTED_CLIENT,证书（执照）,Staff_029,已归档,新证,涉外民事,马来西亚,2023-01-13,2023-01-16,150.00,是
20220020736,REDACTED_CLIENT,法定继承,Staff_012,已归档,新证,国内民事,中国大陆,2023-02-07,2023-02-07,2529.00,是
20220020980,REDACTED_CLIENT,放弃继承权声明,Staff_054,已归档,新证,国内民事,中国大陆,2023-01-29,2023-02-17,500.00,是
20220021004,REDACTED_CLIENT,和解协议,Staff_030,受理,新证,国内经济,中国大陆,2023-02-03,NULL,500.00,是
20220021609,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,泰国,2023-02-07,2023-02-07,150.00,是
20220021787,REDACTED_CLIENT,证书（执照）,Staff_032,归档,新证,涉外民事,日本,2023-02-21,2023-02-21,0.00,Unknown
20220022008,REDACTED_CLIENT,法定继承,Staff_024,已归档,新证,国内民事,中国大陆,2023-01-04,2023-01-10,4776.00,是
20220022065,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,泰国,2023-02-07,2023-02-07,150.00,是
20220022095,REDACTED_CLIENT,证书（执照）,Staff_032,归档,新证,涉外民事,新加坡,2023-01-05,2023-01-05,500.00,是
20220022127,REDACTED_CLIENT,一般事务性委托,Staff_020,已归档,新证,国内民事,中国大陆,2023-01-12,2023-01-17,2000.00,是
20220022188,REDACTED_CLIENT,法定继承,Staff_067,归档,新证,国内民事,中国大陆,2023-01-29,2023-02-07,3790.00,是
20220022527,REDACTED_CLIENT,译本与原本相符,Staff_003,已归档,新证,涉外民事,韩国,2023-02-13,2023-02-14,500.00,是
20220022769,REDACTED_CLIENT,译本与原本相符,Staff_008,已归档,新证,涉外民事,韩国,2023-01-10,2023-01-10,150.00,是
20220022962,REDACTED_CLIENT,证书（执照）,Staff_003,已归档,新证,涉外民事,西班牙,2023-02-23,2023-02-24,150.00,是
20220023115,REDACTED_CLIENT,法定继承,Staff_024,已归档,新证,国内民事,中国大陆,2023-01-04,2023-01-18,5626.00,是
20220023286,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,南非,2023-01-03,2023-01-03,500.00,是
20220023298,REDACTED_CLIENT,无犯罪记录,Staff_008,已归档,新证,涉外民事,以色列,2023-02-22,2023-03-03,150.00,是
20220023308,REDACTED_CLIENT,无犯罪记录,Staff_008,已归档,新证,涉外民事,以色列,2023-02-22,2023-03-03,150.00,是
20220023404,REDACTED_CLIENT,保全购物过程,Staff_020,已归档,新证,国内民事,中国大陆,2023-01-06,2023-01-18,4000.00,是
20220023413,REDACTED_CLIENT,文书上的签名（印鉴）,Staff_008,已归档,新证,涉外民事,以色列,2023-01-03,2023-01-03,500.00,是
20220023528,REDACTED_CLIENT,处分财产的遗嘱,Staff_032,归档,新证,国内民事,中国大陆,2023-01-03,2023-01-03,2000.00,是
20220023620,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,德国,2023-01-28,2023-01-28,150.00,是
20220023658,REDACTED_CLIENT,无犯罪记录,Staff_008,已归档,新证,涉外民事,以色列,2023-02-22,2023-03-03,150.00,是
20220023664,REDACTED_CLIENT,无犯罪记录,Staff_008,已归档,新证,涉外民事,以色列,2023-02-22,2023-03-03,150.00,是
20220023669,REDACTED_CLIENT,法定继承,Staff_049,已归档,新证,国内民事,中国大陆,2023-02-06,2023-02-17,2385.00,是
20220023773,REDACTED_CLIENT,无犯罪记录,Staff_008,已归档,新证,涉外民事,以色列,2023-02-22,2023-03-03,150.00,是
20220023792,REDACTED_CLIENT,无犯罪记录,Staff_008,已归档,新证,涉外民事,以色列,2023-02-22,2023-03-03,150.00,是
20220023835,REDACTED_CLIENT,小额继承,Staff_006,已归档,新证,国内民事,中国大陆,2023-01-18,2023-01-20,500.00,是
20220023890,REDACTED_CLIENT,法定继承,Staff_076,已归档,新证,国内民事,中国大陆,2023-02-07,2023-02-14,5874.00,是
20220024011,REDACTED_CLIENT,文书保管,Staff_027,已归档,新证,保管,中国大陆,2023-01-31,2023-02-01,800.00,是
20220024181,REDACTED_CLIENT,文书保管,Staff_027,已归档,新证,保管,中国大陆,2023-01-10,2023-01-11,800.00,是
20220024287,REDACTED_CLIENT,法定继承,Staff_068,已归档,新证,国内民事,中国大陆,2023-02-07,2023-02-10,2250.00,是
20220024300,REDACTED_CLIENT,一般事务性委托,Staff_032,归档,新证,国内民事,中国大陆,2023-01-05,2023-01-06,2000.00,是
20220024305,REDACTED_CLIENT,一般事务性委托,Staff_030,归档,新证,国内民事,中国大陆,2023-01-03,2023-01-03,2000.00,是
20220024338,REDACTED_CLIENT,一般事务性委托,Staff_049,受理,新证,国内民事,中国大陆,2023-02-27,NULL,500.00,否
20220024447,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,泰国,2023-02-06,2023-02-07,150.00,是
20220024466,REDACTED_CLIENT,其他继承,Staff_020,已归档,新证,国内民事,中国大陆,2023-01-31,2023-02-14,2000.00,是
